horizon,stride,rho,p_adjacent_agree,ceiling,oracle_twin_acc,oracle_excess_over_majority,majority,n_windows
5,1,0.8,0.6943969017041339,0.689601994186341,0.6935714285714285,0.15966619981325858,0.5339052287581699,4896
5,2,0.6,0.5777366707405774,0.5722649083934551,0.5516326530612246,0.018952914499133056,0.5326797385620915,2448
5,3,0.4,0.4997786892982857,0.49578227258063584,0.4764525993883792,-0.0498954398273071,0.5263480392156863,1632
5,5,0.0,0.399868271357038,0.399868271357038,0.3989795918367347,-0.15408163265306118,0.5530612244897959,980
5,8,0.0,0.399868271357038,0.399868271357038,0.39105691056910574,-0.1334528933524629,0.5245098039215687,612
5,10,0.0,0.399868271357038,0.399868271357038,0.4112244897959184,-0.13367346938775504,0.5448979591836735,490
5,15,0.0,0.399868271357038,0.399868271357038,0.3939393939393939,-0.1748679455101474,0.5688073394495413,327
5,20,0.0,0.399868271357038,0.399868271357038,0.336734693877551,-0.21836734693877552,0.5551020408163265,245
10,1,0.9,0.7518276584038497,0.7478695885761109,0.7530132788559755,0.36474912019721445,0.388264158658761,4891
10,2,0.8,0.6556343389227235,0.6507456534101569,0.6310204081632653,0.24344886278305272,0.3875715453802126,2446
10,3,0.7,0.5888285851239117,0.5833712333453851,0.5697247706422017,0.1834586762216009,0.38626609442060084,1631
10,5,0.5,0.49347190337987495,0.48734793843858576,0.49744897959183676,0.07354703883596342,0.42390194075587334,979
10,8,0.2,0.3928838434168222,0.39078340087405516,0.37723577235772365,-0.01982305117168809,0.39705882352941174,612
10,10,0.0,0.3403727798476467,0.34037277984764663,0.31020408163265306,-0.12857142857142856,0.4387755102040816,490
10,15,0.0,0.3403727798476467,0.34037277984764663,0.343939393939394,-0.1178343063664164,0.4617737003058104,327
10,20,0.0,0.3403727798476467,0.34037277984764663,0.34285714285714286,-0.11428571428571427,0.45714285714285713,245
20,1,0.95,0.8122969029373741,0.8093078919469551,0.8116683725690891,0.4111356948391157,0.40053267772997336,4881
20,2,0.9,0.7396623502216022,0.7359497562173012,0.7284253578732107,0.3261312161280243,0.4022941417451864,2441
20,3,0.85,0.6890344624386393,0.6848592456902679,0.6865030674846626,0.29990196115399265,0.38660110633066996,1627
20,5,0.75,0.6163213525975124,0.6113933400725103,0.6474489795918368,0.24622072984772214,0.40122824974411464,977
20,8,0.6,0.538524527479274,0.5326557965868695,0.5170731707317073,0.12427448006067626,0.39279869067103107,611
20,10,0.5,0.4967218791521329,0.4902958446483157,0.5255102040816327,0.11651224907140778,0.40899795501022496,489
20,15,0.25,0.4096437984354674,0.4067008871603168,0.3893939393939394,-0.009379066741029896,0.3987730061349693,326
20,20,0.0,0.33607101655670313,0.33607101655670313,0.33673469387755095,-0.08367346938775516,0.4204081632653061,245
