mid,bid_px_1,bid_sz_1,ask_px_1,ask_sz_1,bid_px_2,bid_sz_2,ask_px_2,ask_sz_2,bid_px_3,bid_sz_3,ask_px_3,ask_sz_3
100.0,99.985,6.0,100.015,6.0,99.975,3.0,100.025,1.0,99.96499999999999,4.0,100.03500000000001,3.0
100.00914,99.99914001464843,8.0,100.01914001464844,5.0,99.98914001464843,6.0,100.02914001464845,1.0,99.97914001464842,6.0,100.03914001464845,4.0
99.977936,99.97293579101563,2.0,99.98293579101562,8.0,99.96293579101562,9.0,99.99293579101563,5.0,99.95293579101562,9.0,100.00293579101563,2.0
100.00045,99.99545013427735,9.0,100.00545013427734,2.0,99.98545013427734,6.0,100.01545013427734,2.0,99.97545013427734,3.0,100.02545013427735,5.0
100.02866,100.0186636352539,8.0,100.03866363525391,9.0,100.0086636352539,5.0,100.04866363525392,5.0,99.99866363525389,1.0,100.05866363525392,3.0
99.970116,99.9651156616211,8.0,99.97511566162109,3.0,99.9551156616211,4.0,99.9851156616211,8.0,99.94511566162109,7.0,99.9951156616211,6.0
99.93106,99.92606079101563,6.0,99.93606079101562,6.0,99.91606079101562,3.0,99.94606079101563,7.0,99.90606079101562,9.0,99.95606079101563,3.0
99.9349,99.92989837646485,3.0,99.93989837646484,8.0,99.91989837646484,1.0,99.94989837646484,9.0,99.90989837646484,7.0,99.95989837646485,5.0
99.925415,99.9154150390625,9.0,99.9354150390625,7.0,99.90541503906249,3.0,99.94541503906251,1.0,99.89541503906248,6.0,99.95541503906252,2.0
99.92491,99.91991149902344,9.0,99.92991149902343,5.0,99.90991149902344,6.0,99.93991149902344,2.0,99.89991149902343,1.0,99.94991149902344,1.0
99.89934,99.88933776855468,1.0,99.90933776855469,4.0,99.87933776855468,3.0,99.9193377685547,5.0,99.86933776855467,6.0,99.9293377685547,3.0
99.9257,99.91569732666015,1.0,99.93569732666016,3.0,99.90569732666015,9.0,99.94569732666017,9.0,99.89569732666014,5.0,99.95569732666017,9.0
99.94901,99.93901275634765,2.0,99.95901275634766,8.0,99.92901275634765,4.0,99.96901275634767,6.0,99.91901275634764,6.0,99.97901275634767,3.0
99.95099,99.93598876953125,5.0,99.96598876953125,4.0,99.92598876953124,3.0,99.97598876953126,7.0,99.91598876953124,3.0,99.98598876953126,2.0
99.984795,99.96979461669922,3.0,99.99979461669922,6.0,99.95979461669921,7.0,100.00979461669922,8.0,99.94979461669921,6.0,100.01979461669923,7.0
99.99882,99.98381744384766,9.0,100.01381744384766,1.0,99.97381744384765,7.0,100.02381744384766,2.0,99.96381744384765,9.0,100.03381744384767,1.0
99.97304,99.96803771972657,2.0,99.97803771972656,6.0,99.95803771972656,1.0,99.98803771972656,1.0,99.94803771972656,5.0,99.99803771972657,9.0
99.98409,99.97409271240234,5.0,99.99409271240235,6.0,99.96409271240233,5.0,100.00409271240235,4.0,99.95409271240233,6.0,100.01409271240236,1.0
99.95533,99.95032989501954,7.0,99.96032989501953,4.0,99.94032989501953,1.0,99.97032989501953,2.0,99.93032989501953,8.0,99.98032989501954,3.0
99.981674,99.97667419433594,7.0,99.98667419433593,5.0,99.96667419433594,5.0,99.99667419433594,9.0,99.95667419433593,3.0,100.00667419433594,6.0
99.98018,99.96517883300781,6.0,99.99517883300781,2.0,99.9551788330078,7.0,100.00517883300782,7.0,99.9451788330078,2.0,100.01517883300782,2.0
99.97463,99.9596322631836,2.0,99.9896322631836,8.0,99.94963226318359,1.0,99.9996322631836,9.0,99.93963226318358,7.0,100.0096322631836,4.0
99.95421,99.94920837402344,4.0,99.95920837402343,7.0,99.93920837402344,7.0,99.96920837402344,2.0,99.92920837402343,5.0,99.97920837402344,9.0
99.99087,99.9858676147461,7.0,99.99586761474609,2.0,99.9758676147461,8.0,100.0058676147461,2.0,99.96586761474609,3.0,100.0158676147461,5.0
99.98624,99.97623657226562,2.0,99.99623657226563,6.0,99.96623657226561,1.0,100.00623657226564,9.0,99.95623657226561,1.0,100.01623657226564,4.0
